Arcade_id,Arcade_nacionalidad,Arcade_tipoSonido,Arcade_cantJugadores,Arcade_capacidad,fkIdSalon,fkIdJuego
113,USA,MONO,2,202,5,4
114,JAPAN,STEREO,4,202,11,3
115,CHINA,MONO,4,253,6,8
116,AREGENTINA,MONO,4,203,3,8
117,USA,STEREO,2,253,4,23
118,JAPAN,MONO,1,203,5,27
119,CHINA,MONO,4,203,12,9
120,AREGENTINA,STEREO,2,203,3,21
121,USA,MONO,1,250,6,5
122,JAPAN,MONO,1,200,2,1
123,CHINA,STEREO,3,250,8,21
124,AREGENTINA,MONO,3,200,5,27
125,USA,MONO,1,200,6,20
126,JAPAN,STEREO,1,200,12,6
127,CHINA,MONO,1,251,6,12
128,AREGENTINA,MONO,1,201,5,7
129,USA,STEREO,3,251,3,18
130,JAPAN,MONO,3,201,1,10
131,CHINA,MONO,1,201,1,4
132,AREGENTINA,STEREO,4,201,9,2
133,USA,MONO,1,252,12,17
134,JAPAN,MONO,1,202,4,12
135,CHINA,STEREO,3,252,6,27
136,AREGENTINA,MONO,1,202,9,13
137,USA,MONO,4,202,2,1
138,JAPAN,STEREO,1,202,3,9
139,CHINA,MONO,1,253,9,30
140,AREGENTINA,MONO,1,203,7,2
141,USA,STEREO,1,253,12,5
142,JAPAN,MONO,2,203,7,28
143,CHINA,MONO,1,203,1,6
144,AREGENTINA,STEREO,4,203,11,23
